Symbol,Date,Multiplier
DAAWAT,20170207,10
DABUR,20001127,10
DABUR,20060119,2
DABUR,20070125,1.5
DABUR,20100908,2
DALALSTCOM,20010910,10
DALMIASUG,20051027,5
DAMODARIND,20150902,1.25
DATAPROINF,20001225,5
DATARSWICH,19960722,2
DBSTOCKBRO,20100924,5
DCHL,20070313,5
DCMSHRIRAM,20051007,10
DCW,20050920,5
DECCANCE,20170911,2
DEEPAKNTR,20140620,10
DELTACORP,20080115,10
DELTAMAGNT,19950911,1.5
DHANUKA,20100902,5
DHANUS,20110829,3.4
DHFL,20150909,2
DIAPOWER,20091216,1.33
DIAPOWER,20130826,1.33
DIVISLAB,20070803,5
DIVISLAB,20090730,2
DIVISLAB,20150923,2
DOLLAR,20170831,5
DOLPHINOFF,20070111,1.6
DOLPHINOFF,20090629,1.4
DONEAR,19980119,2
DONEAR,20041020,2
DONEAR,20060127,10
DPC02,20051021,5
DPC02,20160502,2
DPSCLTD,20111215,230
DRREDDY,20011010,2
DRREDDY,20060828,2
DSSL,20020919,5
DSSL,20030220,2
DSSL,20111103,0.1
DWARKESH,20170810,10
DYNAMATECH,19950619,1.33
DYNASYS,20111104,0.1
EASTSILK,20080627,5
EASUNREYRL,20070731,5
ECLERX,20100723,1.5
ECLERX,20151217,1.33
EDELWEISS,20100810,10
EDUCOMP,20091027,5
EIDPARRY,20050527,5
EIDPARRY,20101223,2
EIHOTEL,19961104,1.5
EIHOTEL,20060912,7.5
EIMCOELECO,19951113,1.5
EKC,20070821,5
ELECON,20061017,5
ELECON,20071010,3
ELECTCAST,20000913,2
ELECTCAST,20070917,10
ELGIEQUIP,20000802,20
ELGIEQUIP,20101214,2
ELPROINTL,20150604,5
ELPROINTL,20150908,3
ELPROINTL,20170927,2
EMAMILTD,20040216,5
EMAMILTD,20040326,2
EMAMILTD,20100721,2
EMAMILTD,20130626,1.5
EMCO,20080314,5
ENGINERSIN,19991107,3
ENGINERSIN,20100506,6
ENGINERSIN,20161230,2
ENGINVALVE,19960819,2
ENTEGRA,20110926,1.31
ERAINFRA,20041109,1.5
ERAINFRA,20080917,5
ESSELPACK,20001226,1.6
ESSELPACK,20060608,5
ESSELPACK,20180620,2
ETPCORP,20020918,2
EVERESTIND,19950911,1.5
EVINIX,20080429,10
EXCEL,20180123,3
EXIDEIND,20030703,2
EXIDEIND,20060908,10
FAIRCHEM,20120712,1.2
FAIRCHEM,20130703,1.1
FAIRCHEM,20140709,1.1
FALCONTYRE,20090925,6
FARMAXIND,20100127,2
FARMAXIND,20100803,5
FAZETHREE,20050722,5
FAZETHREE,20051124,2.5
FAZETHREE,20071024,0.2
FCL,20150212,2
FCL,20150611,5
FCSSOFT,20091015,10
FCSSOFT,20100226,2
FDC,20020514,10
FDC,20040429,2
FEDERALBNK,20041129,3
FEDERALBNK,20131017,5
FEDERALBNK,20150708,2
FEL,20061212,5
FEL,20081105,1.1
FELDVR,20061212,5
FELDVR,20081105,1.1
FINCABLES,19990802,2
FINCABLES,20070108,5
FLEXENGG,19950303,3
FMGOETZE,19960101,1.5
FORTUNEFIN,20060321,2
FOURTHDIM,20170202,2
FSS,20000911,2
GABRIEL,20051230,10
GABRIEL,20120712,2
GAEL,20060106,5
GAIL,20081006,1.5
GAIL,20170309,1.33
GAIL,20180327,1.33
GAL,20161013,10
GAMMNINFRA,20091026,5
GAMMNINFRA,20130123,1.03
GAMMONIND,20050315,5
GANDHITUBE,20080317,2
GANESHHOUC,20060119,3
GANESHHOUC,20160714,1.5
GANGOTRI,20051024,4
GATI,20000925,1.5
GATI,20060321,5
GAYAPROJ,20170210,5
GDL,20070802,1.25
GEEKAYEXIM,19961104,1.75
GEMINI,20060818,2
GEMINI,20070717,2
GEMINI,20080917,5
GENESYS,20100623,2
GENUSPOWER,20101022,10
GEODESIC,20050218,10
GEODESIC,20070817,1.5
GEOJITFSL,20010212,2
GEOJITFSL,20050329,2
GEOJITFSL,20060926,10
GEOMETRIC,20040802,2
GEOMETRIC,20050802,5
GET&D,20081022,5
GFL,20020220,10
GICRE,20180712,2
GILLANDERS,20100914,1.5
GLAXO,19950102,2
GLENMARK,20031023,5
GLENMARK,20050304,2
GLENMARK,20070910,2
GLFL,19970822,1.25
GLODYNE,20090820,2
GLODYNE,20110210,1.67
GMBREW,20140516,1.25
GMBREW,20160530,1.25
GMBREW,20180521,1.25
GMDCLTD,20071108,5
GMDCLTD,20081016,2
GMMPFAUDLR,20021202,1.5
GMMPFAUDLR,20061020,5
GMRINFRA,20070928,5
GMRINFRA,20091001,2
GOACARBON,19971020,2
GOCLCORP,20071026,5
GODFRYPHLP,20141128,5
GODREJCP,20060824,4
GODREJCP,20170622,2
GODREJIND,19950731,1.5
GODREJIND,20060825,6
GODREJIND,20150105,1
GODREJPROP,20131121,2
GOENKA,20121025,10
GOKEX,20070208,2
GOKUL,20091014,5
GOLCRESFIN,19950717,1.5
GOLDIAM,20020829,2
GOLDIAM,20050825,2
GOODLUCK,20090612,5
GPTINFRA,20170713,2
GRANULES,20150323,10
GRAPHITE,20061211,5
GRASIM,20161006,5
GRAVITA,20120525,5
GREAVESCOT,19950828,1.5
GREAVESCOT,20101124,5
GREENFIRE,20070831,2
GREENPLY,20050616,2
GREENPLY,20160106,5
GRINDWELL,19960902,2
GRINDWELL,20060526,4
GRINDWELL,20160714,2
GRUH,20120724,5
GRUH,20140609,2
GRUH,20180606,2
GSFC,20120920,5
GSKCONS,19950531,2
GSKCONS,19970623,1.6
GSLNOVA,20060317,2
GUFICBIO,20001019,3.5
GUFICBIO,20021029,10
GUJAPOLLO,20050803,2
GUJAPOLLO,20070322,1.5
GUJAPOLLO,20081219,1.5
GUJFLUORO,20051010,5
GUJFLUORO,20080201,2
GUJNRECOKE,19961104,2.1
GUJNRECOKE,20030529,1.5
GUJNRECOKE,20040420,1.5
GUJNRECOKE,20050209,2
GUJNRECOKE,20060928,2
GUJNRECOKE,20081017,1.4
GUJNRECOKE,20100506,1.1
GUJNREDVR,19961104,2.1
GUJNREDVR,20030529,1.5
GUJNREDVR,20040420,1.5
GUJNREDVR,20050209,2
GUJNREDVR,20060928,2
GUJNREDVR,20081017,1.4
GUJNREDVR,20100506,1.1
GULFPETRO,20051020,1.6
GULFPETRO,20130709,2.21
GULPOLY,20161227,5
GVKPIL,20080208,10
HARIAEXPO,20040310,1.4
HARIGCRANK,20060329,10
HARITASEAT,20071115,2
HATHWAY,20150106,5
HATSUN,20080717,5
HATSUN,20111003,2
HATSUN,20120326,1.5
HATSUN,20160713,1.4
HAVELLS,20031230,2
HAVELLS,20050804,2
HAVELLS,20060720,2
HAVELLS,20101008,2
HAVELLS,20140826,5
HBLPOWER,20091124,10
HCC,19950619,2
HCC,20051108,10
HCC,20100810,2
HCLINSYS,19950505,1.5
HCLINSYS,20050708,5
HCLTECH,20001127,2
HCLTECH,20070315,2
HCLTECH,20150319,2
HDFC,20021212,2
HDFC,20100818,5
HDFCBANK,20110714,5
HDIL,20080821,1.29
HELIOSMATH,20041028,2
HELIOSMATH,20051027,2
HERCULES,19971020,2
HERCULES,20060914,2
HERCULES,20080917,10
HERCULES,20120711,2
HERITGFOOD,20130726,2
HERITGFOOD,20171010,2
HEROMOTOCO,19980810,2
HEROMOTOCO,20010312,5
HESTERBIO,20120927,1.5
HEXAWARE,19980615,2
HEXAWARE,20000502,2
HEXAWARE,20050428,5
HEXAWARE,20110224,2
HIGHGROUND,20150716,10
HIGHGROUND,20161024,1.1
HIKAL,20000823,2
HIKAL,20030929,1.5
HIKAL,20150227,5
HIMATSEIDE,19990906,2
HIMATSEIDE,20051014,4
HINDALCO,19960902,1.5
HINDALCO,20050830,10
HINDCOMPOS,20170525,3
HINDDORROL,20060526,5
HINDDORROL,20061123,1.2
HINDDORROL,20100315,2
HINDLEVCHM,19980622,2
HINDNATGLS,20091112,5
HINDPETRO,19991011,1.5
HINDPETRO,20160914,3
HINDPETRO,20170711,1.5
HINDSYNTEX,19971222,2
HINDUNILVR,20000703,10
HINDZINC,20110307,10
HIRAFERRO,20110711,5
HIRECT,19951023,2
HIRECT,20050913,1.5
HIRECT,20070828,5
HIRECT,20081006,2
HISARMETAL,20160809,1.5
HITECHGEAR,20001016,2
HITECHGEAR,20050316,2
HITECHGEAR,20101201,2
HOGANAS,19960219,1.5
HOGANAS,20001003,1.5
HOTELEELA,20060908,5
HSCL,20101108,10
HSIL,20040210,2
HSIL,20050105,1.67
HSIL,20051230,2.5
HTMEDIA,20061228,5
IBP,19961216,1.5
ICDSLTD,19971027,2
ICICIBANK,20141204,5
ICICIBANK,20170620,1.1
ICIL,20161111,5
ICSA,20071023,5
IDBI,20010212,1.6
IDBIMFDIV,20010212,1.6
IGL,20171109,5
IIFL,20080808,5
IITL,19960409,10
IITL,19961118,2
IMPAL,20050216,2
IMPAL,20120910,2
INDAL,19950726,1.5
INDHOTEL,20061027,10
INDIACEM,19960122,2
INDIANHUME,20040824,10
INDIANHUME,20050829,1.67
INDIANHUME,20100830,5
INDIANHUME,20161209,2
INDIAPHOTO,19960415,1.5
INDIASEC,20100311,10
INDNIPPON,19990202,2.6
INDNIPPON,20021212,1.7
INDNIPPON,20110920,1.4
INDNIPPON,20180321,2
INDOCO,20120517,7.5
INDORAMA,19950522,1.5
INDSWFTLTD,20050429,5
INDTERRAIN,20151221,5
INDTRADECO,20050902,10
INDTRADECO,20090727,1.67
INFIBEAM,20170831,10
INFINITE,20171101,1.04
INFODRIVE,20141224,10
INFOMEDIA,19970929,1.5
INFOMEDIA,20010829,1.5
INFOMEDIA,20040819,2
INFY,19970819,2
INFY,19990208,2
INFY,20000124,2
INFY,20040701,4
INFY,20060713,2
INFY,20141202,2
INFY,20150615,2
INSECTICID,20150416,1.5
INVENTURE,20120522,4
IOC,19990920,2
IOC,20030814,1.5
IOC,20091029,2
IOC,20161018,2
IOC,20180315,2
IPAPPM,20010101,10
IPCALAB,20050128,2
IPCALAB,20100322,5
ITC,20050921,15
ITC,20100803,2
ITC,20160701,1.5
ITDCEM,20150821,10
ITIL,19960430,3
ITIL,19990809,2
ITIL,20000619,2
IVC,20060623,1.5
IVC,20080728,1.5
IVC,20090916,5
IVC,20131226,1.5
IVP,19961110,1.5
IVRCLAH,20100520,1.5
IVRCLINFRA,19991129,2
IVRCLINFRA,20060329,5
IVRCLINFRA,20100318,2
J&KBANK,20140904,10
JAGRAN,20061102,1.2
JAGRAN,20080109,5
JAGSNPHARM,20040720,8
JAICORPLTD,20071005,20
JAMNAAUTO,20151203,2
JAMNAAUTO,20171005,5
JAYAGROGN,20000821,2
JAYAGROGN,20030331,2
JAYAGROGN,20060413,2
JAYAGROGN,20170801,2
JAYBARMARU,20050923,2
JAYBARMARU,20060925,2
JAYSREETEA,19980817,2
JAYSREETEA,20100813,2
JBCHEPHARM,19981005,2
JBCHEPHARM,20050405,5
JBMA,20071024,1.5
JBMA,20141008,4
JENSONICOL,20001204,5
JEYPORE,19960130,2
JIKIND,20001113,10
JIKIND,20070207,0.1
JINDALPOLY,19960708,2
JINDALPOLY,20101022,2
JINDALSAW,20091210,5
JINDALSTEL,20031222,2
JINDALSTEL,20080121,5
JINDALSTEL,20090914,6
JINDRILL,20040101,2
JINDRILL,20081106,2
JINDWORLD,20051028,4
JINDWORLD,20171226,2
JISLDVREQS,20101029,5
JISLDVREQS,20111108,1.05
JISLJALEQS,20101029,5
JISLJALEQS,20111108,1.05
JKIL,20151210,2
JKLAKSHMI,20091217,2
JKTYRE,20141218,5
JMCPROJECT,20000207,1.5
JMFINANCIL,20080908,25
JMTAUTOLTD,20140730,3.5
JMTAUTOLTD,20150625,5
JMTAUTOLTD,20160921,2
JOCIL,20110927,2
JPASSOCIAT,20071217,5
JPASSOCIAT,20091217,1.5
JSL,20040301,5
