Index,Symbol
Nifty Smallcap 50,FORTIS
Nifty Smallcap 50,SAIL
Nifty Smallcap 50,JUBILANT
Nifty Smallcap 50,CESC
Nifty Smallcap 50,APOLLOTYRE
Nifty Smallcap 50,MANAPPURAM
Nifty Smallcap 50,MRPL
Nifty Smallcap 50,CHOLAHLDNG
Nifty Smallcap 50,ISEC
Nifty Smallcap 50,M&MFIN
Nifty Smallcap 50,GLAXO
Nifty Smallcap 50,EIHOTEL
Nifty Smallcap 50,ESCORTS
Nifty Smallcap 50,MINDAIND
Nifty Smallcap 50,VOLTAS
Nifty Smallcap 50,APLLTD
Nifty Smallcap 50,BHARATFORG
Nifty Smallcap 50,JKCEMENT
Nifty Smallcap 50,TATACOMM
Nifty Smallcap 50,SUNDARMFIN
Nifty Smallcap 50,DALBHARAT
Nifty Smallcap 50,GODREJPROP
Nifty Smallcap 50,JSWENERGY
Nifty Smallcap 50,POLYCAB
Nifty Smallcap 50,SANOFI
Nifty Smallcap 50,RECLTD
Nifty Smallcap 50,NATIONALUM
Nifty Smallcap 50,IRCTC
Nifty Smallcap 50,VBL
Nifty Smallcap 50,BHEL
Nifty Smallcap 50,CHOLAFIN
Nifty Smallcap 50,OBEROIRLTY
Nifty Smallcap 50,L&TFH
Nifty Smallcap 50,ASHOKLEY
Nifty Smallcap 50,MOTILALOFS
Nifty Smallcap 50,APOLLOHOSP
Nifty Smallcap 50,CREDITACC
Nifty Smallcap 50,HAL
Nifty Smallcap 50,AAVAS
Nifty Smallcap 50,AUBANK
Nifty Smallcap 50,ADANIGAS
Nifty Smallcap 50,MFSL
Nifty Smallcap 50,ADANIGREEN
Nifty Smallcap 50,SUMICHEM
Nifty Smallcap 50,IIFLWAM
Nifty Auto,MRF
Nifty Auto,EICHERMOT
Nifty Auto,BAJAJ-AUTO
Nifty Auto,AMARAJABAT
Nifty Auto,BALKRISIND
Nifty Auto,MOTHERSUMI
Nifty Auto,MARUTI
Nifty Auto,TVSMOTOR
Nifty Auto,HEROMOTOCO
Nifty Auto,EXIDEIND
Nifty Auto,BHARATFORG
Nifty Auto,M&M
Nifty Auto,TATAMOTORS
Nifty Auto,BOSCHLTD
Nifty Auto,ASHOKLEY
Nifty Bank,INDUSINDBK
